"Student_Name","Test_Case_1 (15)","Test_Case_2 (15)","Test_Case_3 (15)","Code_1 (30)","Code_2 (25)","Code_3 (-5)","Code_4 (-5)","Total_Marks (100)","Comments"
21ME10100,0,0,0,0,0,0,0,0,"A file was not submitted properly - Mark/s lost: 100 out of 100!!!!==============================!!!!############ TOTAL MARKS OBTAINED = 0 ############"
21ME10005,15,15,15,30,25,0,0,100,"Clean Code!!!!========= TEST CASES =========!!!!PASSED: Test Case 1: {Input: wood_type='n',weight=7.25},!!{Output: Base Price=7975.00, GST=1595.00, Total=9570.00} - Mark/s : 15!!PASSED: Test Case 2: {Input: wood_type='n',weight=13.12},!!{Output: Base Price=14432.00, GST=2886.40, Total=17318.40} - Mark/s : 15!!PASSED: Test Case 3: {Input: wood_type='s',weight=1},!!{Output: Base Price=780.00, GST=117.00, Total=897.00} - Mark/s : 15!!!!========= CODE CASES =========!!!!PASSED: Code Case 1:- Logic is correct and gives expected output - Mark/s : 30!!PASSED: Code Case 2:- Efficient and Optimal steps used to get to output - Mark/s : 25!!!!==============================!!!!########### TOTAL MARKS OBTAINED = 100 ###########"
21ME30015,0,0,0,0,0,0,0,0,"A file was not submitted properly - Mark/s lost: 100 out of 100!!!!==============================!!!!############ TOTAL MARKS OBTAINED = 0 ############"
21MA10017,0,0,0,0,0,0,0,0,"A file was not submitted properly - Mark/s lost: 100 out of 100!!!!==============================!!!!############ TOTAL MARKS OBTAINED = 0 ############"
21IM10011,15,15,15,30,25,0,0,100,"Great Job!!!!========= TEST CASES =========!!!!PASSED: Test Case 1: {Input: wood_type='n',weight=7.25},!!{Output: Base Price=7975.00, GST=1595.00, Total=9570.00} - Mark/s : 15!!PASSED: Test Case 2: {Input: wood_type='n',weight=13.12},!!{Output: Base Price=14432.00, GST=2886.40, Total=17318.40} - Mark/s : 15!!PASSED: Test Case 3: {Input: wood_type='s',weight=1},!!{Output: Base Price=780.00, GST=117.00, Total=897.00} - Mark/s : 15!!!!========= CODE CASES =========!!!!PASSED: Code Case 1:- Logic is correct and gives expected output - Mark/s : 30!!PASSED: Code Case 2:- Efficient and Optimal steps used to get to output - Mark/s : 25!!!!==============================!!!!########### TOTAL MARKS OBTAINED = 100 ###########"
21ME10024,0,0,0,0,0,0,0,0,"A file was not submitted properly - Mark/s lost: 100 out of 100!!!!==============================!!!!############ TOTAL MARKS OBTAINED = 0 ############"
21IM30007,15,15,15,30,25,0,0,100,"Nice work!!!!========= TEST CASES =========!!!!PASSED: Test Case 1: {Input: wood_type='n',weight=7.25},!!{Output: Base Price=7975.00, GST=1595.00, Total=9570.00} - Mark/s : 15!!PASSED: Test Case 2: {Input: wood_type='n',weight=13.12},!!{Output: Base Price=14432.00, GST=2886.40, Total=17318.40} - Mark/s : 15!!PASSED: Test Case 3: {Input: wood_type='s',weight=1},!!{Output: Base Price=780.00, GST=117.00, Total=897.00} - Mark/s : 15!!!!========= CODE CASES =========!!!!PASSED: Code Case 1:- Logic is correct and gives expected output - Mark/s : 30!!PASSED: Code Case 2:- Efficient and Optimal steps used to get to output - Mark/s : 25!!!!==============================!!!!########### TOTAL MARKS OBTAINED = 100 ###########"
21ME10043,0,0,15,10,25,0,0,50,"Always take input in the order mentioned in the question and in the same data type, eg. this question need you to input a character but you took an input integer.!!Another program checks your program, and you may lose 50% marks in test cases.!!!!========= TEST CASES =========!!!!FAILED: Test Case 1: {Input: wood_type='n',weight=7.25},!!{Output: Base Price=7975.00, GST=1595.00, Total=9570.00} - Mark/s obtained: 0 out of 15!!FAILED: Test Case 2: {Input: wood_type='n',weight=13.12},!!{Output: Base Price=14432.00, GST=2886.40, Total=17318.40} - Mark/s obtained: 0 out of 15!!PASSED: Test Case 3: {Input: wood_type='s',weight=1},!!{Output: Base Price=780.00, GST=117.00, Total=897.00} - Mark/s : 15!!!!========= CODE CASES =========!!!!FAILED: Code Case 1:- Logic is correct and gives expected output - Mark/s obtained: 10 out of 30!!PASSED: Code Case 2:- Efficient and Optimal steps used to get to output - Mark/s : 25!!!!==============================!!!!########### TOTAL MARKS OBTAINED = 50 ############"
21MA10036,15,15,15,30,25,0,0,100,"Keep it up!!!!========= TEST CASES =========!!!!PASSED: Test Case 1: {Input: wood_type='n',weight=7.25},!!{Output: Base Price=7975.00, GST=1595.00, Total=9570.00} - Mark/s : 15!!PASSED: Test Case 2: {Input: wood_type='n',weight=13.12},!!{Output: Base Price=14432.00, GST=2886.40, Total=17318.40} - Mark/s : 15!!PASSED: Test Case 3: {Input: wood_type='s',weight=1},!!{Output: Base Price=780.00, GST=117.00, Total=897.00} - Mark/s : 15!!!!========= CODE CASES =========!!!!PASSED: Code Case 1:- Logic is correct and gives expected output - Mark/s : 30!!PASSED: Code Case 2:- Efficient and Optimal steps used to get to output - Mark/s : 25!!!!==============================!!!!########### TOTAL MARKS OBTAINED = 100 ###########"
21ME10062,0,0,0,0,0,0,0,0,"A file was not submitted properly - Mark/s lost: 100 out of 100!!!!==============================!!!!############ TOTAL MARKS OBTAINED = 0 ############"
